kwan_name,room,floor,room_image,room_type,details
새천년관,7207,2,,,
새천년관,7208,2,,,
월당관,3402,4,,,
새천년관,7308,3,,,
새천년관,7309,3,,,
승연관,1504,5,,,
승연관,1503,5,,,
승연관,1505,5,,,
월당관,3502,5,,,
미가엘관,M401,4,,,
정보과학관,6206,2,,,
월당관,3302,3,,,
정보과학관,6201,2,,,
미가엘관,M205,2,,,
정보과학관,6110,1,,,
미가엘관,M301,3,,,
새천년관,7304,3,,,
새천년관,7307,3,,,
새천년관,7202,2,,,
새천년관,7303,3,,,
새천년관,7206,2,,,
새천년관,7305,3,,,
새천년관,7301,3,,,
새천년관,7417,4,,,
새천년관,7306,3,,,
새천년관,7616,6,,,
승연관,1501,5,,,
승연관,1502,5,,,
정보과학관,6404,4,,,
미가엘관,M404,4,,,
미가엘관,M406,4,,,
승연관,1508,5,,,
승연관,1507,5,,,
미가엘관,M407,4,,,
새천년관,7204,2,,,
월당관,3301,3,,,
월당관,3401,4,,,
일만관,B105,1,,,
월당관,3501,5,,,
미가엘관,M402,4,,,
승연관,1506,5,,,
새천년관,7107,1,,,
새천년관,7205,2,,,
성미가엘성당&피츠버그홀,9301,3,,,
미가엘관,M403,4,,,
나눔관,5C301,3,,,
성미가엘성당&피츠버그홀,9990,9,,,
새천년관,7201,2,,,
정보과학관,6406,4,,,
정보과학관,6202,2,,,
정보과학관,6405,4,,,
정보과학관,6403,4,,,
정보과학관,6402,4,,,
성미가엘성당&피츠버그홀,9101,1,,,
새천년관,7302,3,,,
정보과학관,6109,1,,,
구두인관,1A103,1,,, 실험실습실 
구두인관,1A101,1,,, 사무실 
구두인관,1A102,1,,, 사무실 
구두인관,1A104,1,,, 사무실 
구두인관,1A201,2,,, 사무실 
구두인관,1A202,2,,, 사무실 
구두인관,1A203,2,,, 사무실 
구두인관,1A204,2,,, 사무실 
구두인관,1A205,2,,, 사무실 
새천년관,B7101,1,,, 식당 
새천년관,B7102,1,,, 인권센터 
새천년관,7706,7,,, 세미나 실습실 
새천년관,7701,7,,, 교수연구실 
새천년관,7702,7,,, 교수연구실 
새천년관,7703,7,,, 교수연구실 
새천년관,7704,7,,, 교수연구실 
새천년관,7705,7,,, 교수연구실 
새천년관,7707,7,,, 교수연구실 
새천년관,7708,7,,, 교수연구실 
새천년관,7709,7,,, 교수연구실 
새천년관,7710,7,,, 교수연구실 
새천년관,7711,7,,, 교수연구실 
새천년관,7712,7,,, 교수연구실 
새천년관,7713,7,,, 교수연구실 
새천년관,7714,7,,, 교수연구실 
새천년관,7715,7,,, 교수연구실 
새천년관,7716,7,,, 교수연구실 
새천년관,7601,6,,, 교수연구실 
새천년관,7602,6,,, 교수연구실 
새천년관,7603,6,,, 교수연구실 
새천년관,7604,6,,, 우이인문학연구소 
새천년관,7606,6,,, 교수연구실 
새천년관,7607,6,,, 교수연구실 
새천년관,7608,6,,, 교수연구실 
새천년관,7609,6,,, 교수연구실 
새천년관,7610,6,,, 교수연구실 
새천년관,7611,6,,, 교수연구실 
새천년관,7612,6,,, 교수연구실 
새천년관,7613,6,,, 교수연구실 
새천년관,7614,6,,, 교수연구실 
새천년관,7615,6,,, 교수연구실 
새천년관,7605,6,,, 교수연구실 
새천년관,7506,5,,, 사회조사 실습실 
새천년관,7501,5,,, 교수연구실 
새천년관,7502,5,,, 교수연구실 
새천년관,7503,5,,, 교수연구실 
새천년관,7504,5,,, 교수연구실 
새천년관,7505,5,,, 교수연구실 
새천년관,7507,5,,, 교수연구실 
새천년관,7508,5,,, 교수연구실 
새천년관,7509,5,,, 교수연구실 
새천년관,7510,5,,, 교수연구실 
새천년관,7511,5,,, 교수연구실 
새천년관,7512,5,,, 교수연구실 
새천년관,7513,5,,, 교수연구실 
새천년관,7514,5,,, 교수연구실 
새천년관,7515,5,,, 교수연구실 
새천년관,7516,5,,, 교수연구실 
새천년관,7401,4,,, 교수연구실 
새천년관,7402,4,,, 교수연구실 
새천년관,7403,4,,, 교수연구실 
새천년관,7404,4,,, 교수연구실 
새천년관,7405,4,,, 교수연구실 
새천년관,7406,4,,, 외래교수실 
