kwan_name,room,floor,room_image,room_type
새천년관,7207,2,,
새천년관,7208,2,,
월당관,3402,4,,
새천년관,7308,3,,
새천년관,7309,3,,
승연관,1504,5,,
승연관,1503,5,,
승연관,1505,5,,
월당관,3502,5,,
미가엘관,M401,4,,
정보과학관,6206,2,,
월당관,3302,3,,
정보과학관,6201,2,,
미가엘관,M205,2,,
정보과학관,6110,1,,
미가엘관,M301,3,,
새천년관,7304,3,,
새천년관,7307,3,,
새천년관,7202,2,,
새천년관,7303,3,,
새천년관,7206,2,,
새천년관,7305,3,,
새천년관,7301,3,,
새천년관,7417,4,,
새천년관,7306,3,,
새천년관,7616,6,,
승연관,1501,5,,
승연관,1502,5,,
정보과학관,6404,4,,
미가엘관,M404,4,,
미가엘관,M406,4,,
승연관,1508,5,,
승연관,1507,5,,
미가엘관,M407,4,,
새천년관,7204,2,,
월당관,3301,3,,
월당관,3401,4,,
일만관,B105,1,,
월당관,3501,5,,
미가엘관,M402,4,,
승연관,1506,5,,
새천년관,7107,1,,
새천년관,7205,2,,
성미가엘성당&피츠버그홀,9301,3,,
미가엘관,M403,4,,
나눔관,5C301,3,,
성미가엘성당&피츠버그홀,9990,9,,
새천년관,7201,2,,
정보과학관,6406,4,,
정보과학관,6202,2,,
정보과학관,6405,4,,
정보과학관,6403,4,,
정보과학관,6402,4,,
성미가엘성당&피츠버그홀,9101,1,,
새천년관,7302,3,,
정보과학관,6109,1,,
구두인관,1A103(실험실습실),1,,
구두인관,1A101(사무실),1,,
구두인관,1A102(사무실),1,,
구두인관,1A104(사무실),1,,
구두인관,1A201(사무실),2,,
구두인관,1A202(사무실),2,,
구두인관,1A203(사무실),2,,
구두인관,1A204(사무실),2,,
구두인관,1A205(사무실),2,,
새천년관,B7101(식당),1,,
새천년관,B7102(인권센터),1,,
새천년관,7706(세미나실습실),7,,
새천년관,7701(교수연구실),7,,
새천년관,7702(교수연구실),7,,
새천년관,7703(교수연구실),7,,
새천년관,7704(교수연구실),7,,
새천년관,7705(교수연구실),7,,
새천년관,7707(교수연구실),7,,
새천년관,7708(교수연구실),7,,
새천년관,7709(교수연구실),7,,
새천년관,7710(교수연구실),7,,
새천년관,7711(교수연구실),7,,
새천년관,7712(교수연구실),7,,
새천년관,7713(교수연구실),7,,
새천년관,7714(교수연구실),7,,
새천년관,7715(교수연구실),7,,
새천년관,7716(교수연구실),7,,
새천년관,7601(교수연구실),6,,
새천년관,7602(교수연구실),6,,
새천년관,7603(교수연구실),6,,
새천년관,7604(우이인문학연구소),6,,
새천년관,7606(교수연구실),6,,
새천년관,7607(교수연구실),6,,
새천년관,7608(교수연구실),6,,
새천년관,7609(교수연구실),6,,
새천년관,7610(교수연구실),6,,
새천년관,7611(교수연구실),6,,
새천년관,7612(교수연구실),6,,
새천년관,7613(교수연구실),6,,
새천년관,7614(교수연구실),6,,
새천년관,7615(교수연구실),6,,
새천년관,7605(교수연구실),6,,
새천년관,7506(사회조사실습실),5,,
새천년관,7501(교수연구실),5,,
새천년관,7502(교수연구실),5,,
새천년관,7503(교수연구실),5,,
새천년관,7504(교수연구실),5,,
새천년관,7505(교수연구실),5,,
새천년관,7507(교수연구실),5,,
새천년관,7508(교수연구실),5,,
새천년관,7509(교수연구실),5,,
새천년관,7510(교수연구실),5,,
새천년관,7511(교수연구실),5,,
새천년관,7512(교수연구실),5,,
새천년관,7513(교수연구실),5,,
새천년관,7514(교수연구실),5,,
새천년관,7515(교수연구실),5,,
새천년관,7516(교수연구실),5,,
새천년관,7401(교수연구실),4,,
새천년관,7402(교수연구실),4,,
새천년관,7403(교수연구실),4,,
새천년관,7404(교수연구실),4,,
새천년관,7405(교수연구실),4,,
새천년관,7406(외래교수실),4,,
새천년관,7407(교수연구실),4,,
새천년관,7408(교수연구실),4,,
새천년관,7409(교수연구실),4,,
새천년관,7410(교수연구실),4,,
새천년관,7411(교수연구실),4,,
새천년관,7412(교수연구실),4,,
새천년관,7413(교수연구실),4,,
새천년관,7414(교수연구실),4,,
새천년관,7415(교수연구실),4,,
새천년관,7416(교수연구실),4,,
